station,hour,rides
Powell at Post (Union Square),10,271
Powell at Post (Union Square),11,222
Powell at Post (Union Square),12,176
Powell at Post (Union Square),13,179
Powell at Post (Union Square),14,144
Powell at Post (Union Square),15,159
Powell at Post (Union Square),16,186
Powell at Post (Union Square),17,149
Powell at Post (Union Square),18,115
Powell at Post (Union Square),19,94
Powell at Post (Union Square),20,59
Powell at Post (Union Square),21,66
Powell at Post (Union Square),22,50
Powell at Post (Union Square),23,32
Powell Street BART,00,28
Powell Street BART,01,24
Powell Street BART,02,12
Powell Street BART,03,10
Powell Street BART,04,11
Powell Street BART,05,8
Powell Street BART,06,15
Powell Street BART,07,84
Powell Street BART,08,273
Powell Street BART,09,435
Powell Street BART,10,276
Powell Street BART,11,236
Powell Street BART,12,311
Powell Street BART,13,309
Powell Street BART,14,222
Powell Street BART,15,218
Powell Street BART,16,211
Powell Street BART,17,362
Powell Street BART,18,266
Powell Street BART,19,145
Powell Street BART,20,126
Powell Street BART,21,100
Powell Street BART,22,83
Powell Street BART,23,71
Redwood City Caltrain Station,00,3
Redwood City Caltrain Station,01,1
Redwood City Caltrain Station,05,2
Redwood City Caltrain Station,06,2
Redwood City Caltrain Station,07,52
Redwood City Caltrain Station,08,107
Redwood City Caltrain Station,09,29
Redwood City Caltrain Station,10,16
Redwood City Caltrain Station,11,17
Redwood City Caltrain Station,12,14
Redwood City Caltrain Station,13,19
Redwood City Caltrain Station,14,18
Redwood City Caltrain Station,15,17
Redwood City Caltrain Station,16,19
Redwood City Caltrain Station,17,15
Redwood City Caltrain Station,18,6
Redwood City Caltrain Station,19,22
Redwood City Caltrain Station,20,6
Redwood City Caltrain Station,21,7
Redwood City Caltrain Station,22,4
Redwood City Caltrain Station,23,2
Redwood City Medical Center,07,1
Redwood City Medical Center,08,6
Redwood City Medical Center,10,8
Redwood City Medical Center,11,5
Redwood City Medical Center,12,16
Redwood City Medical Center,13,6
Redwood City Medical Center,14,4
Redwood City Medical Center,15,16
Redwood City Medical Center,16,14
Redwood City Medical Center,17,27
Redwood City Medical Center,18,11
Redwood City Medical Center,19,8
Redwood City Medical Center,20,1
Redwood City Public Library,08,1
Redwood City Public Library,09,1
Redwood City Public Library,10,4
Redwood City Public Library,11,3
Redwood City Public Library,12,6
Redwood City Public Library,13,8
Redwood City Public Library,14,5
Redwood City Public Library,15,2
Redwood City Public Library,17,5
Redwood City Public Library,18,4
Redwood City Public Library,19,1
Redwood City Public Library,20,2
Redwood City Public Library,23,2
Rengstorff Avenue / California Street,00,1
Rengstorff Avenue / California Street,02,1
Rengstorff Avenue / California Street,06,9
Rengstorff Avenue / California Street,07,48
Rengstorff Avenue / California Street,08,23
Rengstorff Avenue / California Street,09,21
Rengstorff Avenue / California Street,10,10
Rengstorff Avenue / California Street,11,16
Rengstorff Avenue / California Street,12,24
Rengstorff Avenue / California Street,13,15
Rengstorff Avenue / California Street,14,16
Rengstorff Avenue / California Street,15,16
Rengstorff Avenue / California Street,16,12
Rengstorff Avenue / California Street,17,16
Rengstorff Avenue / California Street,18,17
Rengstorff Avenue / California Street,19,2
Rengstorff Avenue / California Street,20,1
San Antonio Caltrain Station,03,1
San Antonio Caltrain Station,07,2
San Antonio Caltrain Station,08,22
San Antonio Caltrain Station,09,18
San Antonio Caltrain Station,10,15
San Antonio Caltrain Station,11,20
San Antonio Caltrain Station,12,7
San Antonio Caltrain Station,13,10
San Antonio Caltrain Station,14,11
San Antonio Caltrain Station,15,10
San Antonio Caltrain Station,16,7
San Antonio Caltrain Station,17,18
San Antonio Caltrain Station,18,37
San Antonio Caltrain Station,19,26
San Antonio Caltrain Station,20,10
San Antonio Caltrain Station,21,10
San Antonio Caltrain Station,22,6
San Antonio Caltrain Station,23,8
San Antonio Shopping Center,09,20
San Antonio Shopping Center,10,2
San Antonio Shopping Center,11,4
